PowerOfTwo_Original,=1/1
GyroHealthCheck_Mutant3,=1/1
Abs_Mutant2,=1/1
ConvertToFahrenheit_Mutant3,=1/1
SmallestEvenMul_Original,=1/1
Return100_Mutant4,=1/1
ReLUSeq_Mutant5,=1/1
Disjunction_Mutant2,=1/1
DivisionOverflow_Mutant5,=1/1
CanWinNim_Mutant1,=1/1
ReLU_Mutant3,=1/1
MulLoop_Mutant4,=1/1
SubLoop_Mutant2,=1/1
NegAbs_Mutant2,=1/1
Calculator_Mutant2,=1/1
NotCommonFactor_Mutant1,=1/1
IsCommonMultiple_Mutant3,=1/1
PowerOfTwoLoop_Original,=1/1
Abs_Mutant3,=1/1
Disjunction_Mutant4,=1/1
WindCompensation_Mutant1,=1/1
IsCommonFactor_Mutant3,=1/1
MyPower_Original,=1/1
Conjunction_Mutant2,=1/1
GyroHealthCheck_Mutant4,=1/1
Conjunction_Mutant5,=1/1
SmallestEvenMul_Mutant1,=1/1
IsCommonMultiple_Mutant5,=1/1
WindCompensation_Mutant2,=1/1
IsCommonFactor_Original,=1/1
PrimeCheck_Mutant2,=1/1
IsCommonMultipleBranch_Mutant4,=1/1
MySqrt_Mutant4,=0/1
GyroHealthCheck_Mutant5,=1/1
IsCommonMultipleBranch_Mutant3,=1/1
GetLowCaseLoop_M4,=0/1
ConvertToKelvin_Mutant5,=1/1
ConvertToFahrenheit_Mutant2,=1/1
MySqrt_Mutant5,=1/1
DivisionOverflow_Mutant2,=1/1
FizzBuzz_Mutant2,=1/1
CanWinNim_Original,=1/1
NumberOfCuts_Mutant1,=1/1
GCD_Mutant1,=0/1
EchoIntLoop_Mutant2,=1/1
PrimeCheck_Mutant5,=1/1
IsCommonMultiple_Mutant4,=1/1
NegAbs_Mutant5,=1/1
AddLoop_Original,=1/1
AddLoopFor_Mutant4,=1/1
MulLoop_Mutant3,=1/1
Calculator_Mutant4,=1/1
SafeLanding_Mutant4,=1/1
Abs_Mutant4,=1/1
EchoIntLoop_Mutant4,=1/1
XOR_Mutant1,=0/1
PrimeCheck_Mutant1,=1/1
Return100_Original,=1/1
ChangeCase_Mutant5,=1/1
Geofence_Mutant5,=1/1
FizzBuzz_Mutant3,=1/1
SmallestEvenMulBranch_Mutant4,=1/1
MulLoop_Original,=1/1
Calculator_Mutant3,=1/1
SubLoop_Mutant1,=1/1
IsCommonFactorBranch_Mutant4,=1/1
LeapYear_Original,=1/1
SafeLanding_Mutant1,=1/1
IsCommonFactorBranch_Original,=1/1
LeapYear_Mutant4,=1/1
PassPillowBranch_Mutant4,=1/1
DigitRoot_Mutant3,=1/1
GyroHealthCheck_Mutant2,=0/1
NumberOfCuts_Mutant3,=1/1
NumberOfCuts_Mutant5,=1/1
NotCommonFactor_Mutant4,=1/1
FizzBuzz_Mutant1,=1/1
Disjunction_Mutant3,=1/1
AbsSeq_Mutant5,=1/1
Conjunction_Mutant4,=1/1
XOR_Mutant4,=1/1
Return100Nested_Mutant2,=1/1
IsCommonMultiple_Original,=0/1
Geofence_Original,=1/1
Abs_Original,=1/1
IsCommonFactor_Mutant2,=1/1
ConvertToFahrenheit_Mutant1,=1/1
GetLowCaseLoop_M1,=1/1
NumberOfCuts_Mutant2,=1/1
GPSCheck_Mutant3,=1/1
PowerOfTwoBranch_Original,=1/1
AbsSeq_Mutant1,=1/1
AltitudeController_Mutant5,=1/1
ReLU_Mutant4,=1/1
SafeLanding_Original,=1/1
Geofence_Mutant3,=1/1
Calculator_Mutant1,=0/1
Return100Nested_Mutant5,=1/1
ConvertToKelvin_Mutant2,=1/1
MulLoop_Mutant5,=1/1
ReLU_Original,=1/1
ConvertToKelvin_Mutant4,=1/1
PassPillowBranch_Mutant3,=0/1
EchoIntLoop_Mutant1,=1/1
Return100Nested_Mutant4,=1/1
Calculator_Original,=1/1
PowerOfTwoBranch_Mutant3,=1/1
AddLoop_Mutant5,=1/1
MyPower_Mutant3,=1/1
MyPower_Mutant4,=1/1
SmallestEvenMul_Mutant3,=0/1
IsCommonFactorBranch_Mutant3,=1/1
AddLoopFor_Mutant1,=1/1
MySqrt_Original,=0/1
WindCompensation_Original,=1/1
NegAbs_Mutant1,=1/1
EchoIntLoop_Mutant3,=1/1
DivisionOverflow_Original,=1/1
MulLoop_Mutant2,=1/1
ReLUSeq_Mutant2,=1/1
LeapYear_Mutant3,=1/1
ChangeCase_Mutant2,=1/1
PowerOfTwoLoop_Mutant2,=1/1
LeapYear_Mutant2,=1/1
IsCommonFactor_Mutant5,=1/1
XOR_Mutant2,=0/1
ConvertToKelvin_Mutant1,=1/1
ReLU_Mutant5,=1/1
IsCommonFactor_Mutant4,=1/1
NotCommonFactor_Mutant2,=1/1
Conjunction_Original,=1/1
Calculator_Mutant5,=1/1
ReLUSeq_Mutant4,=1/1
AltitudeController_Mutant4,=1/1
SmallestEvenMulBranch_Mutant5,=1/1
AltitudeController_Mutant3,=1/1
IsCommonFactorBranch_Mutant1,=1/1
DivisorGame_Mutant5,=1/1
AddLoop_Mutant2,=1/1
IsCommonMultipleBranch_Mutant2,=1/1
Conjunction_Mutant3,=1/1
ReLU_Mutant2,=1/1
Conjunction_Mutant1,=1/1
PowerOfTwoBranch_Mutant2,=1/1
FizzBuzz_Original,=1/1
PassPillowBranch_Mutant5,=1/1
PowerOfTwoBranch_Mutant1,=1/1
DivisorGame_Mutant4,=1/1
PrimeCheck_Original,=0/1
PowerOfTwo_Mutant3,=1/1
NegAbs_Original,=1/1
Return100Nested_Mutant3,=1/1
Geofence_Mutant4,=1/1
ReLUSeq_Mutant3,=1/1
NumberOfCuts_Mutant4,=1/1
ConvertToFahrenheit_Mutant4,=1/1
AbsSeq_Mutant3,=1/1
PrimeCheck_Mutant4,=0/1
XOR_Original,=1/1
Return100Nested_Mutant1,=1/1
ChangeCase_Mutant1,=1/1
ChangeCase_Mutant4,=1/1
DivisionOverflow_Mutant1,=1/1
IsCommonMultiple_Mutant1,=1/1
AddLoop_Mutant4,=1/1
CanWinNim_Mutant4,=1/1
MySqrt_Mutant1,=0/1
AltitudeController_Mutant1,=1/1
SmallestEvenMul_Mutant4,=1/1
IsCommonFactorBranch_Mutant2,=1/1
MulLoop_Mutant1,=1/1
SmallestEvenMul_Mutant2,=1/1
Disjunction_Original,=1/1
XOR_Mutant5,=1/1
LCM_Original,=0/1
IsCommonFactorBranch_Mutant5,=1/1
GCD_Original,=1/1
GetLowCaseLoop_M3,=1/1
ChangeCase_Mutant3,=1/1
CanWinNim_Mutant3,=1/1
PrimeCheck_Mutant3,=1/1
SubLoop_Mutant3,=1/1
PassPillowBranch_Mutant2,=0/1
GyroHealthCheck_Original,=1/1
NegAbs_Mutant3,=1/1
IsCommonMultipleBranch_Mutant5,=1/1
Abs_Mutant5,=1/1
AddLoop_Mutant1,=1/1
AbsSeq_Mutant2,=1/1
ConvertToFahrenheit_Original,=1/1
PowerOfTwo_Mutant1,=1/1
GPSCheck_Original,=1/1
MyPower_Mutant1,=1/1
Geofence_Mutant1,=1/1
LeapYear_Mutant1,=1/1
Return100_Mutant2,=1/1
AddLoop_Mutant3,=1/1
ConvertToKelvin_Original,=1/1
NotCommonFactor_Mutant5,=1/1
DivisorGame_Original,=1/1
GPSCheck_Mutant1,=1/1
AddLoopFor_Original,=1/1
DivisorGame_Mutant2,=1/1
SmallestEvenMulBranch_Mutant2,=1/1
WindCompensation_Mutant5,=1/1
SmallestEvenMul_Mutant5,=1/1
AddLoopFor_Mutant3,=1/1
AltitudeController_Mutant2,=1/1
DivisionOverflow_Mutant3,=1/1
NegAbs_Mutant4,=1/1
SafeLanding_Mutant3,=1/1
XOR_Mutant3,=1/1
SafeLanding_Mutant2,=1/1
GyroHealthCheck_Mutant1,=0/1
MyPower_Mutant5,=1/1
AltitudeController_Original,=0/1
AbsSeq_Mutant4,=1/1
PassPillowBranch_Mutant1,=0/1
CanWinNim_Mutant2,=1/1
Return100Nested_Original,=1/1
AddLoopFor_Mutant2,=1/1
ReLUSeq_Original,=1/1
GPSCheck_Mutant5,=1/1
FizzBuzz_Mutant5,=1/1
MySqrt_Mutant3,=1/1
SubLoop_Original,=1/1
Return100_Mutant1,=1/1
Disjunction_Mutant1,=1/1
IsCommonMultiple_Mutant2,=1/1
LeapYear_Mutant5,=1/1
Return100_Mutant3,=1/1
SmallestEvenMulBranch_Mutant1,=1/1
PassPillowBranch_Original,=0/1
Geofence_Mutant2,=1/1
GPSCheck_Mutant2,=1/1
DigitRoot_Original,=0/1
GPSCheck_Mutant4,=1/1
